animal	sire	dam	born	sex	herd	status	cause	died	TBV	recessives
	154731	85745	78194	3	M	28	A		-1	1344.06410866	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]
	215104	139009	74849	4	M	182	A		-1	1344.15517347	[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]
	278914	141708	149078	4	M	69	A		-1	1344.49293268	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	182216	86227	96651	3	M	20	A		-1	1344.59642386	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	268267	139868	138090	4	M	27	A		-1	1345.16549228	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	206971	138963	139910	4	M	49	A		-1	1345.20376075	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	243136	139596	146060	4	M	34	A		-1	1345.38703069	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	274808	141708	136713	4	M	95	A		-1	1345.62450755	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	280220	140103	152191	4	M	48	A		-1	1345.71683317	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	247131	139674	156270	4	M	153	A		-1	1345.84588206	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	211648	139004	77022	4	M	104	A		-1	1345.92141172	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	228798	139327	162884	4	M	45	A		-1	1345.95716171	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	216751	139009	111296	4	M	43	A		-1	1345.99153767	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	202768	139921	135637	4	M	194	A		-1	1346.11972741	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	202189	139921	167509	4	M	137	A		-1	1346.22136596	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	265250	139868	141005	4	M	42	A		-1	1346.36485412	[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]
	291479	140223	143923	4	M	24	A		-1	1346.39199357	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]
	244220	139596	152347	4	M	155	A		-1	1346.40391768	[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	292916	140223	151042	4	M	9	A		-1	1346.58380195	[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	212283	139004	106946	4	M	82	A		-1	1347.13223032	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]
	252510	139727	156812	4	M	51	A		-1	1347.95057461	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	264035	139835	138370	4	M	49	A		-1	1348.13363201	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	217042	139009	152572	4	M	137	A		-1	1348.4014461	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	246009	139674	157602	4	M	79	A		-1	1348.50418622	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]
	257160	139763	178704	4	M	138	A		-1	1348.58187869	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]
	248970	139674	183849	4	M	130	A		-1	1348.63099757	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]
	199886	139921	166482	4	M	194	A		-1	1348.64834919	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	293407	140223	152825	4	M	22	A		-1	1348.71857837	[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0]
	209624	138963	174050	4	M	26	A		-1	1348.87445071	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]
	280731	140103	152498	4	M	152	A		-1	1349.02479663	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	281525	140103	165167	4	M	179	A		-1	1349.18753738	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	239317	139483	154890	4	M	104	A		-1	1349.88806186	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]
	219067	139009	173903	4	M	35	A		-1	1349.98696958	[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]
	261225	139835	143973	4	M	167	A		-1	1350.23860905	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	293391	140223	174045	4	M	104	A		-1	1350.33523154	[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	265709	139868	126936	4	M	199	A		-1	1350.36965991	[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]
	288408	140157	176993	4	M	33	A		-1	1350.36987818	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]
