animal	sire	dam	born	sex	herd	status	cause	died	TBV	recessives
	1255499	1125121	1124267	14	M	170	A		-1	3609.20776987	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1247932	1125078	1130217	14	M	85	A		-1	3609.52367225	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1281331	1125400	1190350	14	M	195	A		-1	3609.85003517	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1252357	1125098	990916	14	M	40	A		-1	3609.85022293	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1251089	1125098	1183726	14	M	3	A		-1	3610.06038644	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1269071	1125131	1126926	14	M	48	A		-1	3610.0876656	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1223730	1124497	1036369	14	M	62	A		-1	3610.22460814	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1282522	1125400	1125077	14	M	45	A		-1	3610.41955018	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1264612	1125129	1175735	14	M	132	A		-1	3610.63568618	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1250158	1125098	1181045	14	M	84	A		-1	3610.71500635	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1248163	1125078	1161278	14	M	195	A		-1	3610.8118751	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1253136	1125098	1179933	14	M	176	A		-1	3610.83119353	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1252603	1125098	902321	14	M	117	A		-1	3611.49873113	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1268101	1125131	1192101	14	M	191	A		-1	3611.74386349	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1269418	1125131	1112888	14	M	193	A		-1	3612.08646889	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1286290	1125445	1014942	14	M	23	A		-1	3612.52602915	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1226689	1124678	1048170	14	M	69	A		-1	3612.58654108	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1267898	1125131	1172324	14	M	143	A		-1	3612.98187099	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1219918	1124497	1067623	14	M	88	A		-1	3613.12084451	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1226090	1124678	1161201	14	M	185	A		-1	3613.14622205	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1203197	1125181	943822	14	M	14	A		-1	3613.92489208	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1276663	1126353	1156552	14	M	52	A		-1	3614.03916516	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1290392	1125473	1132206	14	M	25	A		-1	3614.85148094	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1233519	1124949	1000760	14	M	89	A		-1	3615.14447467	[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1244259	1125069	1130161	14	M	68	A		-1	3615.3227715	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1199866	1125181	1143572	14	M	68	A		-1	3615.63675425	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
	1251895	1125098	1033486	14	M	65	A		-1	3615.67658358	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
